Date,fill_height,settlement
2015-08-12,0.0,0.0
2015-08-13,0.5,-1.8
2015-08-14,0.5,-2.125
2015-08-15,0.5,-2.45
2015-08-16,0.5,-2.7750000000000004
2015-08-17,0.5,-3.1
2015-08-18,0.5,-3.2333333333333334
2015-08-19,0.5,-3.3666666666666667
2015-08-20,0.5,-3.5
2015-08-21,0.5,-3.875
2015-08-22,0.5,-4.25
2015-08-23,0.5,-4.625
2015-08-24,0.6,-5.0
2015-08-25,0.6,-5.133333333333334
2015-08-26,0.6,-5.266666666666667
2015-08-27,0.6,-5.4
2015-08-28,0.6,-5.5
2015-08-29,0.6,-5.6
2015-08-30,0.6,-5.7
2015-08-31,0.6,-5.8
2015-09-01,0.6,-5.9
2015-09-02,0.6,-6.0
2015-09-03,0.6,-6.1
2015-09-04,0.6,-6.9
2015-09-05,0.6,-7.7
2015-09-06,0.6,-8.5
2015-09-07,0.6,-9.3
2015-09-08,0.6,-10.1
2015-09-09,0.6,-10.9
2015-09-10,0.6,-11.7
2015-09-11,0.6,-12.125
2015-09-12,0.6,-12.55
2015-09-13,0.6,-12.975
2015-09-14,1.1,-13.4
2015-09-15,1.1,-13.5
2015-09-16,1.1,-13.6
2015-09-17,1.1,-13.7
2015-09-18,1.1,-13.7
2015-09-19,1.1,-13.7
2015-09-20,1.1,-13.7
2015-09-21,1.1,-13.7
2015-09-22,1.1,-13.7
2015-09-23,1.1,-13.7
2015-09-24,1.1,-13.7
2015-09-25,1.1,-14.254545454545454
2015-09-26,1.1,-14.809090909090909
2015-09-27,1.1,-15.363636363636363
2015-09-28,1.1,-15.918181818181818
2015-09-29,1.1,-16.472727272727273
2015-09-30,1.1,-17.027272727272727
2015-10-01,1.1,-17.581818181818182
2015-10-02,1.1,-18.13636363636364
2015-10-03,1.1,-18.69090909090909
2015-10-04,1.1,-19.245454545454542
2015-10-05,1.5,-19.8
2015-10-06,1.5,-19.933333333333334
2015-10-07,1.5,-20.066666666666663
2015-10-08,1.5,-20.2
2015-10-09,1.5,-20.4
2015-10-10,1.5,-20.6
2015-10-11,1.5,-20.8
2015-10-12,1.5,-21.0
2015-10-13,1.5,-21.266666666666666
2015-10-14,1.5,-21.53333333333333
2015-10-15,1.5,-21.8
2015-10-16,1.5,-22.05
2015-10-17,1.5,-22.3
2015-10-18,1.5,-22.55
2015-10-19,1.9,-22.8
2015-10-20,1.9,-23.23333333333333
2015-10-21,1.9,-23.666666666666668
2015-10-22,1.9,-24.1
2015-10-23,1.9,-24.175
2015-10-24,1.9,-24.25
2015-10-25,1.9,-24.325
2015-10-26,1.9,-24.4
2015-10-27,1.9,-24.633333333333333
2015-10-28,1.9,-24.866666666666667
2015-10-29,1.9,-25.1
2015-10-30,1.9,-25.1
2015-10-31,1.9,-25.1
2015-11-01,1.9,-25.1
2015-11-02,1.9,-25.1
2015-11-03,1.9,-25.1
2015-11-04,1.9,-25.166666666666668
2015-11-05,1.9,-25.23333333333333
2015-11-06,1.9,-25.3
2015-11-07,1.9,-25.3
2015-11-08,1.9,-25.3
2015-11-09,1.9,-25.3
2015-11-10,1.9,-25.3
2015-11-11,1.9,-25.5
2015-11-12,1.9,-25.7
2015-11-13,1.9,-25.7625
2015-11-14,1.9,-25.825
2015-11-15,1.9,-25.8875
2015-11-16,1.9,-25.95
2015-11-17,1.9,-26.0125
2015-11-18,1.9,-26.075
2015-11-19,1.9,-26.1375
2015-11-20,1.9,-26.2
2015-11-21,1.9,-26.257142857142856
2015-11-22,1.9,-26.314285714285717
2015-11-23,1.9,-26.37142857142857
2015-11-24,1.9,-26.42857142857143
2015-11-25,1.9,-26.485714285714288
2015-11-26,1.9,-26.542857142857144
2015-11-27,1.9,-26.6
2015-11-28,1.9,-26.67142857142857
2015-11-29,1.9,-26.742857142857144
2015-11-30,1.9,-26.81428571428572
2015-12-01,1.9,-26.88571428571429
2015-12-02,1.9,-26.95714285714286
2015-12-03,1.9,-27.02857142857143
2015-12-04,1.9,-27.1
2015-12-05,1.9,-27.175
2015-12-06,1.9,-27.25
2015-12-07,1.9,-27.325
2015-12-08,1.9,-27.4
2015-12-09,1.9,-27.4
2015-12-10,1.9,-27.4
2015-12-11,1.9,-27.4
2015-12-12,1.9,-27.4
2015-12-13,1.9,-27.4
2015-12-14,1.9,-27.4
2015-12-15,1.9,-27.4
2015-12-16,1.9,-28.633333333333333
2015-12-17,1.9,-29.866666666666667
2015-12-18,2.2,-31.1
2015-12-19,2.2,-31.14
2015-12-20,2.2,-31.18
2015-12-21,2.2,-31.22
2015-12-22,2.2,-31.26
2015-12-23,2.2,-31.3
2015-12-24,2.2,-31.333333333333336
2015-12-25,2.2,-31.366666666666667
2015-12-26,2.2,-31.4
2015-12-27,2.2,-31.433333333333334
2015-12-28,2.2,-31.46666666666667
2015-12-29,2.2,-31.5
2015-12-30,2.2,-31.5
2015-12-31,2.2,-31.5
2016-01-01,2.2,-31.55
2016-01-02,2.2,-31.6
2016-01-03,2.2,-31.65
2016-01-04,2.2,-31.7
2016-01-05,2.2,-31.75
2016-01-06,2.2,-31.8
2016-01-07,2.2,-31.8
2016-01-08,2.2,-31.8
2016-01-09,2.2,-31.866666666666667
2016-01-10,2.2,-31.933333333333334
2016-01-11,2.2,-32.0
2016-01-12,2.2,-32.125
2016-01-13,2.2,-32.25
2016-01-14,2.2,-32.375
2016-01-15,2.2,-32.5
2016-01-16,2.2,-32.63333333333333
2016-01-17,2.2,-32.766666666666666
2016-01-18,2.2,-32.9
2016-01-19,2.2,-32.975
2016-01-20,2.2,-33.05
2016-01-21,2.2,-33.125
2016-01-22,2.2,-33.2
2016-01-23,2.2,-33.300000000000004
2016-01-24,2.2,-33.400000000000006
2016-01-25,2.2,-33.5
2016-01-26,2.2,-33.6
2016-01-27,2.2,-33.666666666666664
2016-01-28,2.2,-33.733333333333334
2016-01-29,2.2,-33.8
2016-01-30,2.2,-33.83333333333333
2016-01-31,2.2,-33.86666666666667
2016-02-01,2.2,-33.9
2016-02-02,2.2,-33.93333333333333
2016-02-03,2.2,-33.96666666666667
2016-02-04,2.2,-34.0
2016-02-05,2.2,-34.016666666666666
2016-02-06,2.2,-34.03333333333333
2016-02-07,2.2,-34.05
2016-02-08,2.2,-34.06666666666667
2016-02-09,2.2,-34.083333333333336
2016-02-10,2.2,-34.1
2016-02-11,2.2,-34.11666666666667
2016-02-12,2.2,-34.13333333333333
2016-02-13,2.2,-34.150000000000006
2016-02-14,2.2,-34.16666666666667
2016-02-15,2.2,-34.18333333333334
2016-02-16,2.2,-34.2
2016-02-17,2.2,-34.2
2016-02-18,2.2,-34.2
2016-02-19,2.2,-34.2
2016-02-20,2.2,-34.225
2016-02-21,2.2,-34.25
2016-02-22,2.2,-34.275
2016-02-23,2.2,-34.3
2016-02-24,2.2,-34.3
2016-02-25,2.2,-34.3
2016-02-26,2.2,-34.3
2016-02-27,2.2,-34.3
2016-02-28,2.2,-34.3
2016-02-29,2.2,-34.3
2016-03-01,2.2,-34.3
2016-03-02,2.2,-34.3
2016-03-03,2.2,-34.3
2016-03-04,2.2,-34.3
