Date,fill_height,settlement
2015-09-06,0.0,0.0
2015-09-07,0.5,-5.1
2015-09-08,0.5,-6.2
2015-09-09,0.5,-7.300000000000001
2015-09-10,0.5,-8.4
2015-09-11,0.5,-9.1
2015-09-12,0.5,-9.8
2015-09-13,0.5,-10.5
2015-09-14,0.5,-11.2
2015-09-15,0.5,-11.7
2015-09-16,0.5,-12.2
2015-09-17,0.5,-12.7
2015-09-18,0.5,-12.85
2015-09-19,0.5,-13.0
2015-09-20,0.5,-13.15
2015-09-21,0.5,-13.3
2015-09-22,0.5,-13.466666666666669
2015-09-23,0.5,-13.633333333333336
2015-09-24,0.5,-13.8
2015-09-25,0.5,-14.272727272727272
2015-09-26,0.5,-14.745454545454546
2015-09-27,0.5,-15.21818181818182
2015-09-28,0.5,-15.690909090909091
2015-09-29,0.5,-16.163636363636364
2015-09-30,0.5,-16.636363636363637
2015-10-01,0.5,-17.10909090909091
2015-10-02,0.5,-17.581818181818182
2015-10-03,0.5,-18.05454545454545
2015-10-04,0.5,-18.527272727272727
2015-10-05,1.1,-19.0
2015-10-06,1.1,-19.1
2015-10-07,1.1,-19.2
2015-10-08,1.5,-19.3
2015-10-09,1.5,-20.85
2015-10-10,1.5,-22.4
2015-10-11,1.5,-23.95
2015-10-12,1.9,-25.5
2015-10-13,1.9,-26.5
2015-10-14,1.9,-27.5
2015-10-15,1.9,-28.5
2015-10-16,1.9,-29.45
2015-10-17,1.9,-30.4
2015-10-18,1.9,-31.35
2015-10-19,2.1,-32.3
2015-10-20,2.1,-32.46666666666666
2015-10-21,2.1,-32.63333333333333
2015-10-22,2.1,-32.8
2015-10-23,2.1,-33.5
2015-10-24,2.1,-34.2
2015-10-25,2.1,-34.9
2015-10-26,2.4,-35.6
2015-10-27,2.4,-36.66666666666666
2015-10-28,2.4,-37.73333333333333
2015-10-29,2.4,-38.8
2015-10-30,2.4,-39.52
2015-10-31,2.4,-40.24
2015-11-01,2.4,-40.96
2015-11-02,2.4,-41.68
2015-11-03,2.4,-42.4
2015-11-04,2.4,-42.833333333333336
2015-11-05,2.4,-43.266666666666666
2015-11-06,2.4,-43.7
2015-11-07,2.4,-43.7
2015-11-08,2.4,-43.7
2015-11-09,2.4,-43.7
2015-11-10,2.4,-43.7
2015-11-11,2.4,-43.8
2015-11-12,2.4,-43.9
2015-11-13,2.4,-43.95
2015-11-14,2.4,-44.0
2015-11-15,2.4,-44.05
2015-11-16,2.4,-44.1
2015-11-17,2.4,-44.15
2015-11-18,2.4,-44.2
2015-11-19,2.4,-44.25
2015-11-20,2.4,-44.3
2015-11-21,2.4,-44.37142857142857
2015-11-22,2.4,-44.44285714285714
2015-11-23,2.4,-44.51428571428571
2015-11-24,2.4,-44.58571428571428
2015-11-25,2.4,-44.65714285714285
2015-11-26,2.4,-44.72857142857143
2015-11-27,2.4,-44.8
2015-11-28,2.4,-44.9
2015-11-29,2.4,-45.0
2015-11-30,2.4,-45.1
2015-12-01,2.4,-45.2
2015-12-02,2.4,-45.3
2015-12-03,2.4,-45.4
2015-12-04,2.4,-45.5
2015-12-05,2.4,-45.575
2015-12-06,2.4,-45.65
2015-12-07,2.4,-45.725
2015-12-08,2.4,-45.8
2015-12-09,2.4,-45.9
2015-12-10,2.4,-46.0
2015-12-11,2.4,-46.1
2015-12-12,2.4,-46.1
2015-12-13,2.4,-46.1
2015-12-14,2.4,-46.1
2015-12-15,2.4,-46.1
2015-12-16,2.4,-46.1
2015-12-17,2.4,-46.1
2015-12-18,2.4,-46.1
2015-12-19,2.4,-46.16
2015-12-20,2.4,-46.22
2015-12-21,2.4,-46.28
2015-12-22,2.4,-46.34
2015-12-23,3.3,-46.4
2015-12-24,3.3,-46.48333333333333
2015-12-25,3.3,-46.56666666666666
2015-12-26,3.3,-46.65
2015-12-27,3.3,-46.73333333333333
2015-12-28,3.3,-46.81666666666666
2015-12-29,3.3,-46.9
2015-12-30,3.3,-46.9
2015-12-31,3.3,-46.9
2016-01-01,3.3,-48.2
2016-01-02,3.3,-49.5
2016-01-03,3.3,-50.8
2016-01-04,3.3,-52.1
2016-01-05,3.3,-53.400000000000006
2016-01-06,4.2,-54.7
2016-01-07,4.2,-56.25
2016-01-08,4.8,-57.8
2016-01-09,4.8,-58.8
2016-01-10,4.8,-59.8
2016-01-11,4.8,-60.8
2016-01-12,4.8,-61.475
2016-01-13,4.8,-62.15
2016-01-14,4.8,-62.825
2016-01-15,4.8,-63.5
2016-01-16,4.8,-64.03333333333333
2016-01-17,4.8,-64.56666666666666
2016-01-18,4.8,-65.1
2016-01-19,4.8,-65.57499999999999
2016-01-20,4.8,-66.05
2016-01-21,4.8,-66.525
2016-01-22,4.8,-67.0
2016-01-23,4.8,-67.3
2016-01-24,4.8,-67.6
2016-01-25,4.8,-67.9
2016-01-26,4.8,-68.2
2016-01-27,4.8,-68.5
2016-01-28,4.8,-68.8
2016-01-29,4.8,-69.1
2016-01-30,4.8,-69.43333333333332
2016-01-31,4.8,-69.76666666666667
2016-02-01,4.8,-70.1
2016-02-02,4.8,-70.3
2016-02-03,4.8,-70.5
