Date,fill_height,settlement
2015-06-30,0.0,0.0
2015-07-01,0.6,-12.8
2015-07-02,0.6,-12.8
2015-07-03,0.8,-12.8
2015-07-04,0.8,-12.8
2015-07-05,0.8,-12.8
2015-07-06,0.8,-12.8
2015-07-07,1.1,-12.8
2015-07-08,1.1,-12.8
2015-07-09,1.4,-12.8
2015-07-10,1.4,-13.02
2015-07-11,1.4,-13.24
2015-07-12,1.4,-13.46
2015-07-13,1.4,-13.68
2015-07-14,1.7,-13.9
2015-07-15,1.7,-14.25
2015-07-16,1.7,-14.6
2015-07-17,1.7,-14.6
2015-07-18,1.7,-14.6
2015-07-19,1.7,-14.6
2015-07-20,1.7,-14.6
2015-07-21,1.7,-14.6
2015-07-22,1.7,-14.6
2015-07-23,1.7,-14.6
2015-07-24,1.7,-14.66
2015-07-25,1.7,-14.72
2015-07-26,1.7,-14.78
2015-07-27,1.7,-14.84
2015-07-28,1.7,-14.9
2015-07-29,1.7,-14.9
2015-07-30,1.7,-14.9
2015-07-31,1.7,-14.9
2015-08-01,1.7,-14.9
2015-08-02,1.7,-14.9
2015-08-03,1.7,-14.9
2015-08-04,1.7,-14.9
2015-08-05,1.7,-14.9
2015-08-06,1.7,-14.9
2015-08-07,1.7,-14.9
2015-08-08,1.7,-14.9
2015-08-09,1.7,-14.9
2015-08-10,1.7,-14.9
2015-08-11,1.7,-15.0
2015-08-12,1.7,-15.1
2015-08-13,2.1,-15.2
2015-08-14,2.1,-15.3
2015-08-15,2.1,-15.4
2015-08-16,2.1,-15.5
2015-08-17,2.1,-15.6
2015-08-18,2.1,-15.6
2015-08-19,2.1,-15.6
2015-08-20,2.1,-15.6
2015-08-21,2.1,-15.6
2015-08-22,2.1,-15.6
2015-08-23,2.1,-15.6
2015-08-24,2.1,-15.6
2015-08-25,2.1,-15.6
2015-08-26,2.1,-15.6
2015-08-27,2.1,-15.6
2015-08-28,2.1,-15.6
2015-08-29,2.1,-15.6
2015-08-30,2.1,-15.6
2015-08-31,2.1,-15.6
2015-09-01,2.1,-15.6
2015-09-02,2.1,-15.6
2015-09-03,2.1,-15.6
2015-09-04,2.1,-15.6
2015-09-05,2.1,-15.6
2015-09-06,2.1,-15.6
2015-09-07,2.1,-15.6
2015-09-08,2.1,-15.6
