Date,fill_height,settlement
2015-06-28,0.0,0.0
2015-06-29,0.4,-2.8
2015-06-30,0.4,-2.8
2015-07-01,0.4,-2.8
2015-07-02,0.4,-2.8
2015-07-03,0.4,-2.8
2015-07-04,0.4,-2.8
2015-07-05,0.4,-2.8
2015-07-06,0.4,-2.8
2015-07-07,1.0,-2.8
2015-07-08,1.0,-3.1
2015-07-09,1.1,-3.4
2015-07-10,1.1,-3.5
2015-07-11,1.1,-3.6
2015-07-12,1.1,-3.7
2015-07-13,1.1,-3.8
2015-07-14,1.1,-3.9
2015-07-15,1.1,-4.05
2015-07-16,1.1,-4.2
2015-07-17,1.1,-4.2
2015-07-18,1.1,-4.2
2015-07-19,1.1,-4.2
2015-07-20,1.1,-4.2
2015-07-21,1.1,-4.2
2015-07-22,1.1,-4.2
2015-07-23,1.1,-4.2
2015-07-24,1.1,-4.2
2015-07-25,1.1,-4.2
2015-07-26,1.1,-4.2
2015-07-27,1.1,-4.2
2015-07-28,1.1,-4.2
2015-07-29,1.1,-4.35
2015-07-30,1.1,-4.5
2015-07-31,1.1,-4.5
2015-08-01,1.1,-4.5
2015-08-02,1.1,-4.5
2015-08-03,1.1,-4.5
2015-08-04,1.1,-4.5
2015-08-05,1.1,-4.5
2015-08-06,1.1,-4.5
2015-08-07,1.1,-4.5
2015-08-08,1.1,-4.5
2015-08-09,1.1,-4.5
2015-08-10,1.1,-4.5
2015-08-11,1.1,-4.566666666666666
2015-08-12,1.1,-4.633333333333334
2015-08-13,1.1,-4.7
2015-08-14,1.1,-4.7
2015-08-15,1.1,-4.7
2015-08-16,1.1,-4.7
2015-08-17,1.1,-4.7
2015-08-18,1.1,-4.7
2015-08-19,1.1,-4.7
2015-08-20,1.1,-4.7
2015-08-21,1.1,-4.7
2015-08-22,1.1,-4.7
2015-08-23,1.1,-4.7
2015-08-24,1.1,-4.7
2015-08-25,1.1,-4.766666666666667
2015-08-26,1.1,-4.833333333333334
2015-08-27,1.1,-4.9
2015-08-28,1.1,-4.9750000000000005
2015-08-29,1.1,-5.050000000000001
2015-08-30,1.1,-5.125
2015-08-31,1.1,-5.2
2015-09-01,1.1,-5.2
2015-09-02,1.1,-5.2
2015-09-03,1.1,-5.2
2015-09-04,1.1,-5.2
2015-09-05,1.1,-5.2
2015-09-06,1.1,-5.2
2015-09-07,1.1,-5.2
2015-09-08,1.1,-5.2
2015-09-09,1.1,-5.2
2015-09-10,1.1,-5.2
2015-09-11,1.1,-5.2
2015-09-12,1.1,-5.2
2015-09-13,1.1,-5.2
2015-09-14,1.4,-5.2
2015-09-15,1.4,-5.2
2015-09-16,1.4,-5.2
2015-09-17,1.4,-5.2
2015-09-18,1.4,-5.2
2015-09-19,1.4,-5.2
2015-09-20,1.4,-5.2
2015-09-21,1.4,-5.2
2015-09-22,1.4,-5.2
2015-09-23,1.4,-5.2
2015-09-24,1.4,-5.2
2015-09-25,1.4,-5.245454545454546
2015-09-26,1.4,-5.290909090909091
2015-09-27,1.4,-5.336363636363637
2015-09-28,1.4,-5.381818181818182
2015-09-29,1.4,-5.427272727272728
2015-09-30,1.4,-5.472727272727273
2015-10-01,1.4,-5.5181818181818185
2015-10-02,1.4,-5.563636363636364
2015-10-03,1.4,-5.609090909090909
2015-10-04,1.4,-5.654545454545454
2015-10-05,2.0,-5.7
2015-10-06,2.0,-5.7
2015-10-07,2.0,-5.7
