Date,fill_height,settlement
2015-06-28,0.0,0.0
2015-06-29,0.5,-1.1
2015-06-30,0.5,-1.1
2015-07-01,0.6,-1.1
2015-07-02,0.6,-1.1
2015-07-03,1.1,-1.1
2015-07-04,1.1,-1.525
2015-07-05,1.1,-1.95
2015-07-06,1.1,-2.375
2015-07-07,1.7,-2.8
2015-07-08,1.7,-2.8
2015-07-09,1.7,-2.8
2015-07-10,1.7,-2.8
2015-07-11,1.7,-2.8
2015-07-12,1.7,-2.8
2015-07-13,1.7,-2.8
2015-07-14,1.7,-2.8
2015-07-15,1.7,-2.8
2015-07-16,1.7,-2.8
2015-07-17,1.7,-2.8
2015-07-18,1.7,-2.8
2015-07-19,1.7,-2.8
2015-07-20,1.7,-2.8
2015-07-21,1.7,-2.9
2015-07-22,1.7,-3.0
2015-07-23,1.7,-3.1
2015-07-24,1.7,-3.18
2015-07-25,1.7,-3.26
2015-07-26,1.7,-3.34
2015-07-27,1.7,-3.42
2015-07-28,1.7,-3.5
2015-07-29,1.7,-3.5
2015-07-30,1.7,-3.5
2015-07-31,1.7,-3.5
2015-08-01,1.7,-3.5
2015-08-02,1.7,-3.5
2015-08-03,1.7,-3.5
2015-08-04,1.7,-3.5
2015-08-05,1.7,-3.5
2015-08-06,1.7,-3.5
2015-08-07,1.7,-3.5
2015-08-08,1.7,-3.5
2015-08-09,1.7,-3.5
2015-08-10,1.7,-3.5
2015-08-11,1.7,-3.7666666666666666
2015-08-12,1.7,-4.033333333333333
2015-08-13,2.5,-4.3
2015-08-14,2.5,-4.525
2015-08-15,2.5,-4.75
2015-08-16,2.5,-4.975
2015-08-17,2.5,-5.2
2015-08-18,2.5,-5.3
2015-08-19,2.5,-5.4
2015-08-20,2.5,-5.5
2015-08-21,2.5,-5.6
2015-08-22,2.5,-5.7
2015-08-23,2.5,-5.800000000000001
2015-08-24,2.5,-5.9
2015-08-25,2.5,-6.033333333333333
2015-08-26,2.5,-6.166666666666667
2015-08-27,2.5,-6.3
2015-08-28,2.5,-6.35
2015-08-29,2.5,-6.4
2015-08-30,2.5,-6.45
2015-08-31,2.5,-6.5
2015-09-01,2.5,-6.566666666666666
2015-09-02,2.5,-6.633333333333334
2015-09-03,2.5,-6.7
2015-09-04,2.5,-6.95
2015-09-05,2.5,-7.2
2015-09-06,2.5,-7.45
2015-09-07,2.5,-7.7
2015-09-08,2.5,-7.766666666666667
2015-09-09,2.5,-7.833333333333334
2015-09-10,2.5,-7.9
2015-09-11,2.5,-7.9
2015-09-12,2.5,-7.9
2015-09-13,2.5,-7.9
2015-09-14,2.5,-7.9
2015-09-15,2.5,-7.9
2015-09-16,2.5,-7.9
2015-09-17,2.5,-7.9
2015-09-18,2.5,-7.9
2015-09-19,2.5,-7.9
2015-09-20,2.5,-7.9
2015-09-21,2.5,-7.9
2015-09-22,2.5,-7.966666666666667
2015-09-23,2.5,-8.033333333333333
2015-09-24,2.5,-8.1
2015-09-25,2.5,-8.1
2015-09-26,2.5,-8.1
2015-09-27,2.5,-8.1
2015-09-28,2.5,-8.1
2015-09-29,2.5,-8.1
2015-09-30,2.5,-8.1
2015-10-01,2.5,-8.1
2015-10-02,2.5,-8.1
2015-10-03,2.5,-8.1
2015-10-04,2.5,-8.1
2015-10-05,2.5,-8.1
2015-10-06,2.5,-8.1
2015-10-07,2.5,-8.1
2015-10-08,2.5,-8.1
2015-10-09,2.5,-8.175
2015-10-10,2.5,-8.25
2015-10-11,2.5,-8.325
2015-10-12,2.5,-8.4
2015-10-13,2.5,-8.5
2015-10-14,2.5,-8.6
2015-10-15,2.5,-8.7
2015-10-16,2.5,-9.275
2015-10-17,2.5,-9.85
2015-10-18,2.5,-10.425
