Date,fill_height,settlement
2015-10-14,0.0,0.0
2015-10-15,1.0,-6.8
2015-10-16,1.0,-7.15
2015-10-17,1.0,-7.5
2015-10-18,1.0,-7.85
2015-10-19,1.0,-8.2
2015-10-20,1.0,-8.266666666666666
2015-10-21,1.0,-8.333333333333334
2015-10-22,1.0,-8.4
2015-10-23,1.0,-9.975
2015-10-24,1.0,-11.55
2015-10-25,1.0,-13.125
2015-10-26,1.8,-14.7
2015-10-27,1.8,-15.866666666666664
2015-10-28,1.8,-17.03333333333333
2015-10-29,1.8,-18.2
2015-10-30,1.8,-19.5
2015-10-31,1.8,-20.8
2015-11-01,1.8,-22.1
2015-11-02,1.8,-23.4
2015-11-03,2.4,-24.7
2015-11-04,2.4,-25.5
2015-11-05,2.4,-26.3
2015-11-06,2.4,-27.1
2015-11-07,2.4,-27.225
2015-11-08,2.4,-27.35
2015-11-09,2.4,-27.475
2015-11-10,2.4,-27.6
2015-11-11,2.4,-27.700000000000003
2015-11-12,2.4,-27.8
2015-11-13,2.4,-27.85
2015-11-14,2.4,-27.9
2015-11-15,2.4,-27.95
2015-11-16,2.4,-28.0
2015-11-17,2.4,-28.05
2015-11-18,2.4,-28.1
2015-11-19,2.4,-28.15
2015-11-20,2.4,-28.2
2015-11-21,2.4,-28.242857142857144
2015-11-22,2.4,-28.285714285714285
2015-11-23,2.4,-28.32857142857143
2015-11-24,2.4,-28.37142857142857
2015-11-25,2.4,-28.414285714285715
2015-11-26,2.4,-28.457142857142856
2015-11-27,2.4,-28.5
2015-11-28,2.4,-28.51428571428572
2015-11-29,2.4,-28.52857142857143
2015-11-30,2.4,-28.542857142857144
2015-12-01,2.4,-28.557142857142857
2015-12-02,2.4,-28.571428571428573
2015-12-03,2.4,-28.585714285714285
2015-12-04,2.4,-28.6
2015-12-05,2.4,-28.675
2015-12-06,2.4,-28.75
2015-12-07,2.4,-28.825
2015-12-08,2.4,-28.9
2015-12-09,2.4,-28.9
2015-12-10,2.4,-28.9
2015-12-11,2.4,-28.9
2015-12-12,2.4,-28.9
2015-12-13,2.4,-28.9
2015-12-14,2.4,-28.9
2015-12-15,2.4,-28.9
2015-12-16,2.4,-28.966666666666665
2015-12-17,2.4,-29.03333333333333
2015-12-18,2.4,-29.1
2015-12-19,2.4,-29.18
2015-12-20,2.4,-29.26
2015-12-21,2.4,-29.34
2015-12-22,2.4,-29.42
2015-12-23,3.0,-29.5
2015-12-24,3.0,-30.35
2015-12-25,3.0,-31.2
2015-12-26,3.0,-32.05
2015-12-27,3.0,-32.9
