Date,fill_height,settlement
2015-09-02,0.0,0.0
2015-09-03,0.5,-3.7
2015-09-04,0.5,-4.025
2015-09-05,0.5,-4.35
2015-09-06,0.5,-4.675
2015-09-07,0.6,-5.0
2015-09-08,0.6,-5.2
2015-09-09,0.6,-5.4
2015-09-10,0.6,-5.6
2015-09-11,0.6,-5.6
2015-09-12,0.6,-5.6
2015-09-13,0.6,-5.6
2015-09-14,0.6,-5.6
2015-09-15,0.6,-5.6
2015-09-16,0.6,-5.6
2015-09-17,0.6,-5.6
2015-09-18,0.6,-5.725
2015-09-19,0.6,-5.85
2015-09-20,0.6,-5.975
2015-09-21,0.6,-6.1
2015-09-22,0.6,-6.266666666666667
2015-09-23,0.6,-6.433333333333333
2015-09-24,0.6,-6.6
2015-09-25,0.6,-6.781818181818181
2015-09-26,0.6,-6.963636363636363
2015-09-27,0.6,-7.145454545454545
2015-09-28,0.6,-7.327272727272727
2015-09-29,0.6,-7.509090909090909
2015-09-30,0.6,-7.69090909090909
2015-10-01,0.6,-7.872727272727272
2015-10-02,0.6,-8.054545454545455
2015-10-03,0.6,-8.236363636363636
2015-10-04,0.6,-8.418181818181818
2015-10-05,1.4,-8.6
2015-10-06,1.4,-9.2
2015-10-07,1.4,-9.8
2015-10-08,1.6,-10.4
2015-10-09,1.6,-10.775
2015-10-10,1.6,-11.15
2015-10-11,1.6,-11.525
2015-10-12,1.6,-11.9
2015-10-13,1.6,-14.266666666666667
2015-10-14,1.6,-16.633333333333333
2015-10-15,1.9,-19.0
2015-10-16,1.9,-20.45
2015-10-17,1.9,-21.9
2015-10-18,1.9,-23.35
2015-10-19,2.2,-24.8
2015-10-20,2.2,-26.8
2015-10-21,2.2,-28.8
2015-10-22,2.6,-30.8
2015-10-23,2.6,-31.825
2015-10-24,2.6,-32.85
2015-10-25,2.6,-33.875
2015-10-26,3.0,-34.9
2015-10-27,3.0,-36.43333333333333
2015-10-28,3.0,-37.96666666666667
2015-10-29,3.0,-39.5
2015-10-30,3.0,-40.3
