Date,fill_height,settlement
2015-10-14,0.0,0.0
2015-10-15,0.9,-6.7
2015-10-16,0.9,-7.15
2015-10-17,0.9,-7.6
2015-10-18,0.9,-8.05
2015-10-19,0.9,-8.5
2015-10-20,0.9,-8.633333333333333
2015-10-21,0.9,-8.766666666666667
2015-10-22,0.9,-8.9
2015-10-23,0.9,-10.375
2015-10-24,0.9,-11.85
2015-10-25,0.9,-13.325
2015-10-26,1.7,-14.8
2015-10-27,1.7,-15.4
2015-10-28,1.7,-16.0
2015-10-29,1.7,-16.6
2015-10-30,1.7,-17.66
2015-10-31,1.7,-18.72
2015-11-01,1.7,-19.78
2015-11-02,1.7,-20.84
2015-11-03,2.0,-21.9
2015-11-04,2.0,-22.2
2015-11-05,2.0,-22.5
2015-11-06,2.0,-22.8
2015-11-07,2.0,-22.85
2015-11-08,2.0,-22.9
2015-11-09,2.0,-22.95
2015-11-10,2.0,-23.0
2015-11-11,2.0,-23.15
2015-11-12,2.0,-23.3
2015-11-13,2.0,-23.3625
2015-11-14,2.0,-23.425
2015-11-15,2.0,-23.4875
2015-11-16,2.0,-23.55
2015-11-17,2.0,-23.6125
2015-11-18,2.0,-23.675
2015-11-19,2.0,-23.7375
2015-11-20,2.0,-23.8
2015-11-21,2.0,-23.871428571428574
2015-11-22,2.0,-23.942857142857143
2015-11-23,2.0,-24.01428571428572
2015-11-24,2.0,-24.085714285714285
2015-11-25,2.0,-24.15714285714286
2015-11-26,2.0,-24.228571428571428
2015-11-27,2.0,-24.3
2015-11-28,2.0,-24.32857142857143
2015-11-29,2.0,-24.357142857142858
2015-11-30,2.0,-24.38571428571429
2015-12-01,2.0,-24.414285714285715
2015-12-02,2.0,-24.442857142857143
2015-12-03,2.0,-24.47142857142857
2015-12-04,2.0,-24.5
2015-12-05,2.0,-24.625
2015-12-06,2.0,-24.75
2015-12-07,2.0,-24.875
2015-12-08,2.0,-25.0
2015-12-09,2.0,-25.1
2015-12-10,2.0,-25.2
2015-12-11,2.0,-25.3
2015-12-12,2.0,-25.3
2015-12-13,2.0,-25.3
2015-12-14,2.0,-25.3
2015-12-15,2.0,-25.3
2015-12-16,2.0,-25.3
2015-12-17,2.0,-25.3
2015-12-18,2.0,-25.3
2015-12-19,2.0,-25.68
2015-12-20,2.0,-26.06
2015-12-21,2.0,-26.44
2015-12-22,2.0,-26.82
2015-12-23,2.9,-27.2
2015-12-24,2.9,-27.966666666666665
2015-12-25,2.9,-28.73333333333333
2015-12-26,2.9,-29.5
2015-12-27,2.9,-30.266666666666666
2015-12-28,2.9,-31.03333333333333
2015-12-29,3.7,-31.8
2015-12-30,3.7,-32.05
2015-12-31,3.7,-32.3
2016-01-01,3.7,-32.983333333333334
2016-01-02,3.7,-33.666666666666664
2016-01-03,3.7,-34.349999999999994
2016-01-04,3.7,-35.03333333333333
2016-01-05,3.7,-35.71666666666667
2016-01-06,4.8,-36.4
2016-01-07,4.8,-36.85
2016-01-08,4.8,-37.3
2016-01-09,4.8,-37.5
2016-01-10,4.8,-37.7
2016-01-11,4.8,-37.9
2016-01-12,4.8,-38.0
2016-01-13,4.8,-38.1
2016-01-14,4.8,-38.2
2016-01-15,4.8,-38.3
2016-01-16,4.8,-38.36666666666667
2016-01-17,4.8,-38.43333333333333
2016-01-18,4.8,-38.5
2016-01-19,4.8,-38.525
2016-01-20,4.8,-38.55
2016-01-21,4.8,-38.575
2016-01-22,4.8,-38.6
2016-01-23,4.8,-38.625
2016-01-24,4.8,-38.650000000000006
2016-01-25,4.8,-38.675
2016-01-26,4.8,-38.7
2016-01-27,4.8,-38.73333333333333
2016-01-28,4.8,-38.766666666666666
2016-01-29,4.8,-38.8
2016-01-30,4.8,-38.83333333333333
2016-01-31,4.8,-38.86666666666667
2016-02-01,4.8,-38.9
2016-02-02,4.8,-38.9
2016-02-03,4.8,-38.9
2016-02-04,4.8,-38.9
2016-02-05,4.8,-38.925
2016-02-06,4.8,-38.95
2016-02-07,4.8,-38.975
2016-02-08,4.8,-39.0
2016-02-09,4.8,-39.025
2016-02-10,4.8,-39.05
2016-02-11,4.8,-39.075
2016-02-12,4.8,-39.1
2016-02-13,4.8,-39.125
2016-02-14,4.8,-39.150000000000006
2016-02-15,4.8,-39.175
2016-02-16,4.8,-39.2
2016-02-17,4.8,-39.2
2016-02-18,4.8,-39.2
2016-02-19,4.8,-39.2
2016-02-20,4.8,-39.2
2016-02-21,4.8,-39.2
2016-02-22,4.8,-39.2
2016-02-23,4.8,-39.2
2016-02-24,4.8,-39.2
2016-02-25,4.8,-39.2
2016-02-26,4.8,-39.2
2016-02-27,4.8,-39.2
2016-02-28,4.8,-39.2
2016-02-29,4.8,-39.2
2016-03-01,4.8,-39.2
2016-03-02,4.8,-39.2
2016-03-03,4.8,-39.2
2016-03-04,4.8,-39.2
2016-03-05,4.8,-39.2
2016-03-06,4.8,-39.2
2016-03-07,4.8,-39.2
2016-03-08,4.8,-39.2
2016-03-09,4.8,-39.2
2016-03-10,4.8,-39.2
2016-03-11,4.8,-39.2
2016-03-12,4.8,-39.2
2016-03-13,4.8,-39.2
2016-03-14,4.8,-39.2
2016-03-15,4.8,-39.2
2016-03-16,4.8,-39.2
2016-03-17,4.8,-39.2
2016-03-18,4.8,-39.2
2016-03-19,4.8,-39.2
2016-03-20,4.8,-39.2
2016-03-21,4.8,-39.2
2016-03-22,4.8,-39.2
2016-03-23,4.8,-39.2
2016-03-24,4.8,-39.2
2016-03-25,4.8,-39.2
2016-03-26,4.8,-39.2
2016-03-27,4.8,-39.2
2016-03-28,4.8,-39.2
2016-03-29,4.8,-39.2
2016-03-30,4.8,-39.2
2016-03-31,4.8,-39.2
2016-04-01,4.8,-39.2
2016-04-02,4.8,-39.2
2016-04-03,4.8,-39.2
2016-04-04,4.8,-39.2
2016-04-05,4.8,-39.2
2016-04-06,4.8,-39.2
2016-04-07,4.8,-39.2
2016-04-08,4.8,-39.2
2016-04-09,4.8,-39.2
2016-04-10,4.8,-39.2
2016-04-11,4.8,-39.2
2016-04-12,4.8,-39.2
2016-04-13,4.8,-39.2
2016-04-14,4.8,-39.2
2016-04-15,4.8,-39.2
2016-04-16,4.8,-39.2
2016-04-17,4.8,-39.2
2016-04-18,4.8,-39.2
2016-04-19,4.8,-39.2
2016-04-20,4.8,-39.2
2016-04-21,4.8,-39.2
2016-04-22,4.8,-39.2
2016-04-23,4.8,-39.2
2016-04-24,4.8,-39.2
2016-04-25,4.8,-39.2
2016-04-26,4.8,-39.2
2016-04-27,4.8,-39.2
2016-04-28,4.8,-39.2
2016-04-29,4.8,-39.2
2016-04-30,4.8,-39.2
2016-05-01,4.8,-39.2
2016-05-02,4.8,-39.2
2016-05-03,4.8,-39.2
2016-05-04,4.8,-39.2
2016-05-05,4.8,-39.2
2016-05-06,4.8,-39.2
2016-05-07,4.8,-39.2
2016-05-08,4.8,-39.2
2016-05-09,4.8,-39.2
2016-05-10,4.8,-39.2
2016-05-11,4.8,-39.2
2016-05-12,4.8,-39.2
2016-05-13,4.8,-39.2
2016-05-14,4.8,-39.2
2016-05-15,4.8,-39.2
2016-05-16,4.8,-39.2
2016-05-17,4.8,-39.2
2016-05-18,4.8,-39.2
2016-05-19,4.8,-39.2
2016-05-20,4.8,-39.2
2016-05-21,4.8,-39.2
2016-05-22,4.8,-39.2
2016-05-23,4.8,-39.2
2016-05-24,4.8,-39.2
2016-05-25,4.8,-39.2
2016-05-26,4.8,-39.2
2016-05-27,4.8,-39.2
2016-05-28,4.8,-39.2
2016-05-29,4.8,-39.2
2016-05-30,4.8,-39.2
