Date,fill_height,settlement
2015-08-09,0.0,0.0
2015-08-10,0.6,-0.3
2015-08-11,0.6,-0.5
2015-08-12,0.6,-0.7000000000000001
2015-08-13,0.8,-0.9
2015-08-14,0.8,-1.5
2015-08-15,0.8,-2.1
2015-08-16,0.8,-2.7
2015-08-17,0.8,-3.3
2015-08-18,0.8,-3.5666666666666664
2015-08-19,0.8,-3.833333333333333
2015-08-20,0.8,-4.1
2015-08-21,0.8,-4.1
2015-08-22,0.8,-4.1
2015-08-23,0.8,-4.1
2015-08-24,1.1,-4.1
2015-08-25,1.1,-4.166666666666666
2015-08-26,1.1,-4.233333333333333
2015-08-27,1.1,-4.3
2015-08-28,1.1,-4.425
2015-08-29,1.1,-4.55
2015-08-30,1.1,-4.675
2015-08-31,1.1,-4.8
2015-09-01,1.1,-5.033333333333333
2015-09-02,1.1,-5.266666666666667
2015-09-03,1.1,-5.5
2015-09-04,1.1,-5.55
2015-09-05,1.1,-5.6
2015-09-06,1.1,-5.65
2015-09-07,1.1,-5.7
2015-09-08,1.1,-5.8
2015-09-09,1.1,-5.9
2015-09-10,1.5,-6.0
2015-09-11,1.5,-6.1
2015-09-12,1.5,-6.2
2015-09-13,1.5,-6.300000000000001
2015-09-14,1.9,-6.4
2015-09-15,1.9,-6.666666666666667
2015-09-16,1.9,-6.933333333333334
2015-09-17,1.9,-7.2
2015-09-18,1.9,-7.25
2015-09-19,1.9,-7.300000000000001
2015-09-20,1.9,-7.35
2015-09-21,1.9,-7.4
2015-09-22,1.9,-7.5
2015-09-23,1.9,-7.6
2015-09-24,1.9,-7.7
2015-09-25,1.9,-7.781818181818182
2015-09-26,1.9,-7.863636363636363
2015-09-27,1.9,-7.945454545454545
2015-09-28,1.9,-8.027272727272727
2015-09-29,1.9,-8.10909090909091
2015-09-30,1.9,-8.190909090909091
2015-10-01,1.9,-8.272727272727273
2015-10-02,1.9,-8.354545454545454
2015-10-03,1.9,-8.436363636363636
2015-10-04,1.9,-8.518181818181818
2015-10-05,2.0,-8.6
2015-10-06,2.0,-8.7
2015-10-07,2.0,-8.8
2015-10-08,2.0,-8.9
2015-10-09,2.0,-9.6
2015-10-10,2.0,-10.3
2015-10-11,2.0,-11.0
2015-10-12,2.0,-11.7
2015-10-13,2.0,-12.566666666666666
2015-10-14,2.0,-13.433333333333334
2015-10-15,2.0,-14.3
2015-10-16,2.0,-15.775
2015-10-17,2.0,-17.25
2015-10-18,2.0,-18.725
2015-10-19,2.6,-20.2
2015-10-20,2.6,-21.166666666666668
2015-10-21,2.6,-22.133333333333333
2015-10-22,2.6,-23.1
2015-10-23,2.6,-23.825000000000003
2015-10-24,2.6,-24.55
2015-10-25,2.6,-25.275
2015-10-26,2.6,-26.0
2015-10-27,2.6,-26.766666666666666
2015-10-28,2.6,-27.53333333333333
2015-10-29,2.6,-28.3
2015-10-30,2.6,-28.36
2015-10-31,2.6,-28.42
2015-11-01,2.6,-28.48
2015-11-02,2.6,-28.540000000000003
2015-11-03,2.6,-28.6
2015-11-04,2.6,-28.666666666666668
2015-11-05,2.6,-28.73333333333333
2015-11-06,2.6,-28.8
2015-11-07,2.6,-28.925
2015-11-08,2.6,-29.05
2015-11-09,2.6,-29.175
2015-11-10,2.6,-29.3
2015-11-11,2.6,-29.3
2015-11-12,2.6,-29.3
2015-11-13,2.6,-29.3875
2015-11-14,2.6,-29.475
2015-11-15,2.6,-29.5625
2015-11-16,2.6,-29.65
2015-11-17,2.6,-29.7375
2015-11-18,2.6,-29.825
2015-11-19,2.6,-29.9125
2015-11-20,2.6,-30.0
2015-11-21,2.6,-30.085714285714285
2015-11-22,2.6,-30.17142857142857
2015-11-23,2.6,-30.257142857142856
2015-11-24,2.6,-30.342857142857145
2015-11-25,2.6,-30.42857142857143
2015-11-26,2.6,-30.51428571428572
2015-11-27,2.6,-30.6
2015-11-28,2.6,-30.65714285714286
2015-11-29,2.6,-30.714285714285715
2015-11-30,2.6,-30.77142857142857
2015-12-01,2.6,-30.82857142857143
2015-12-02,2.6,-30.88571428571429
2015-12-03,2.6,-30.942857142857143
2015-12-04,2.6,-31.0
2015-12-05,2.6,-31.025
2015-12-06,2.6,-31.05
2015-12-07,2.6,-31.075000000000003
2015-12-08,2.6,-31.1
2015-12-09,2.6,-31.166666666666668
2015-12-10,2.6,-31.23333333333333
2015-12-11,2.6,-31.3
2015-12-12,2.6,-31.375
2015-12-13,2.6,-31.450000000000003
2015-12-14,2.6,-31.525
2015-12-15,2.6,-31.6
2015-12-16,2.6,-33.03333333333333
2015-12-17,2.6,-34.46666666666667
2015-12-18,2.9,-35.9
2015-12-19,2.9,-35.9
2015-12-20,2.9,-35.9
2015-12-21,2.9,-35.9
2015-12-22,2.9,-35.9
2015-12-23,2.9,-35.9
2015-12-24,2.9,-35.983333333333334
2015-12-25,2.9,-36.06666666666666
2015-12-26,2.9,-36.15
2015-12-27,2.9,-36.23333333333333
2015-12-28,2.9,-36.31666666666666
2015-12-29,2.9,-36.4
2015-12-30,2.9,-36.4
2015-12-31,2.9,-36.4
2016-01-01,2.9,-36.516666666666666
2016-01-02,2.9,-36.63333333333333
2016-01-03,2.9,-36.75
2016-01-04,2.9,-36.86666666666667
2016-01-05,2.9,-36.98333333333333
2016-01-06,2.9,-37.1
2016-01-07,2.9,-37.2
2016-01-08,2.9,-37.3
2016-01-09,2.9,-37.33333333333333
2016-01-10,2.9,-37.36666666666667
2016-01-11,2.9,-37.4
2016-01-12,2.9,-37.45
2016-01-13,2.9,-37.5
2016-01-14,2.9,-37.55
2016-01-15,2.9,-37.6
2016-01-16,2.9,-37.66666666666666
2016-01-17,2.9,-37.73333333333333
2016-01-18,2.9,-37.8
2016-01-19,2.9,-37.875
2016-01-20,2.9,-37.95
2016-01-21,2.9,-38.025
2016-01-22,2.9,-38.1
2016-01-23,2.9,-38.175
2016-01-24,2.9,-38.25
2016-01-25,2.9,-38.325
2016-01-26,2.9,-38.4
2016-01-27,2.9,-38.43333333333333
2016-01-28,2.9,-38.46666666666667
2016-01-29,2.9,-38.5
2016-01-30,2.9,-38.5
2016-01-31,2.9,-38.5
2016-02-01,2.9,-38.5
2016-02-02,2.9,-38.56666666666667
2016-02-03,2.9,-38.63333333333333
2016-02-04,2.9,-38.7
2016-02-05,2.9,-38.74166666666667
2016-02-06,2.9,-38.78333333333334
2016-02-07,2.9,-38.825
2016-02-08,2.9,-38.86666666666667
