Date,fill_height,settlement
2015-11-02,0.0,0.0
2015-11-03,1.0,-7.0
2015-11-04,1.0,-7.8
2015-11-05,1.0,-8.6
2015-11-06,1.0,-9.4
2015-11-07,1.0,-9.575
2015-11-08,1.0,-9.75
2015-11-09,1.0,-9.925
2015-11-10,1.1,-10.1
2015-11-11,1.1,-10.4
2015-11-12,1.1,-10.7
2015-11-13,1.1,-10.8
2015-11-14,1.1,-10.9
2015-11-15,1.1,-11.0
2015-11-16,1.1,-11.1
2015-11-17,1.1,-11.2
2015-11-18,1.1,-11.3
2015-11-19,1.1,-11.4
2015-11-20,1.1,-11.5
2015-11-21,1.1,-11.571428571428571
2015-11-22,1.1,-11.642857142857142
2015-11-23,1.1,-11.714285714285714
2015-11-24,1.1,-11.785714285714286
2015-11-25,1.1,-11.857142857142858
2015-11-26,1.1,-11.928571428571429
2015-11-27,1.1,-12.0
2015-11-28,1.1,-12.028571428571428
2015-11-29,1.1,-12.057142857142855
2015-11-30,1.1,-12.085714285714284
2015-12-01,1.1,-12.114285714285714
2015-12-02,1.1,-12.142857142857142
2015-12-03,1.1,-12.17142857142857
2015-12-04,1.1,-12.2
2015-12-05,1.1,-12.2
2015-12-06,1.1,-12.2
2015-12-07,1.1,-12.2
2015-12-08,1.1,-12.2
2015-12-09,1.1,-12.2
2015-12-10,1.1,-12.2
2015-12-11,1.1,-12.2
2015-12-12,1.1,-12.2
2015-12-13,1.1,-12.2
2015-12-14,1.1,-12.2
2015-12-15,1.1,-12.2
2015-12-16,1.1,-12.266666666666666
2015-12-17,1.1,-12.333333333333334
2015-12-18,1.1,-12.4
2015-12-19,1.1,-12.4
2015-12-20,1.1,-12.4
2015-12-21,1.1,-12.4
2015-12-22,1.1,-12.4
2015-12-23,1.1,-12.4
2015-12-24,1.1,-13.0
2015-12-25,1.1,-13.6
2015-12-26,1.1,-14.2
2015-12-27,1.1,-14.8
2015-12-28,1.1,-15.4
2015-12-29,1.8,-16.0
2015-12-30,1.8,-16.3
2015-12-31,1.8,-16.6
2016-01-01,1.8,-16.783333333333335
2016-01-02,1.8,-16.96666666666667
2016-01-03,1.8,-17.15
2016-01-04,1.8,-17.333333333333332
2016-01-05,1.8,-17.516666666666666
2016-01-06,1.8,-17.7
2016-01-07,1.8,-21.9
2016-01-08,3.6,-26.1
2016-01-09,3.6,-29.53333333333333
2016-01-10,3.6,-32.96666666666667
2016-01-11,5.1,-36.4
2016-01-12,5.1,-38.625
2016-01-13,5.1,-40.85
2016-01-14,5.1,-43.075
2016-01-15,5.1,-45.3
2016-01-16,5.1,-45.53333333333333
2016-01-17,5.1,-45.766666666666666
2016-01-18,5.1,-46.0
2016-01-19,5.1,-46.15
2016-01-20,5.1,-46.3
2016-01-21,5.1,-46.45
2016-01-22,5.1,-46.6
2016-01-23,5.1,-46.7
2016-01-24,5.1,-46.8
2016-01-25,5.1,-46.9
2016-01-26,5.1,-47.0
2016-01-27,5.1,-47.06666666666667
2016-01-28,5.1,-47.13333333333333
2016-01-29,5.1,-47.2
2016-01-30,5.1,-47.23333333333333
2016-01-31,5.1,-47.266666666666666
2016-02-01,5.1,-47.3
2016-02-02,5.1,-47.33333333333333
2016-02-03,5.1,-47.36666666666667
2016-02-04,5.1,-47.4
2016-02-05,5.1,-47.45833333333333
2016-02-06,5.1,-47.516666666666666
2016-02-07,5.1,-47.575
2016-02-08,5.1,-47.63333333333333
2016-02-09,5.1,-47.69166666666666
2016-02-10,5.1,-47.75
2016-02-11,5.1,-47.80833333333334
2016-02-12,5.1,-47.86666666666667
2016-02-13,5.1,-47.925
2016-02-14,5.1,-47.98333333333333
2016-02-15,5.1,-48.04166666666667
2016-02-16,5.1,-48.1
2016-02-17,5.1,-48.13333333333333
2016-02-18,5.1,-48.16666666666667
2016-02-19,5.1,-48.2
2016-02-20,5.1,-48.2
2016-02-21,5.1,-48.2
2016-02-22,5.1,-48.2
2016-02-23,5.1,-48.2
2016-02-24,5.1,-48.23333333333333
2016-02-25,5.1,-48.266666666666666
2016-02-26,5.1,-48.3
2016-02-27,5.1,-48.3
2016-02-28,5.1,-48.3
2016-02-29,5.1,-48.3
2016-03-01,5.1,-48.3
2016-03-02,5.1,-48.3
2016-03-03,5.1,-48.3
2016-03-04,5.1,-48.3
2016-03-05,5.1,-48.3
2016-03-06,5.1,-48.3
2016-03-07,5.1,-48.3
2016-03-08,5.1,-48.3
2016-03-09,5.1,-48.3
2016-03-10,5.1,-48.3
2016-03-11,5.1,-48.3
2016-03-12,5.1,-48.3
2016-03-13,5.1,-48.3
2016-03-14,5.1,-48.3
2016-03-15,5.1,-48.3
2016-03-16,5.1,-48.3
2016-03-17,5.1,-48.3
2016-03-18,5.1,-48.3
2016-03-19,5.1,-48.3
2016-03-20,5.1,-48.3
2016-03-21,5.1,-48.3
2016-03-22,5.1,-48.3
2016-03-23,5.1,-48.3
2016-03-24,5.1,-48.3
2016-03-25,5.1,-48.3
2016-03-26,5.1,-48.3
2016-03-27,5.1,-48.3
2016-03-28,5.1,-48.3
2016-03-29,5.1,-48.3
2016-03-30,5.1,-48.3
2016-03-31,5.1,-48.3
2016-04-01,5.1,-48.3
2016-04-02,5.1,-48.3
2016-04-03,5.1,-48.3
2016-04-04,5.1,-48.3
2016-04-05,5.1,-48.3
2016-04-06,5.1,-48.3
2016-04-07,5.1,-48.3
2016-04-08,5.1,-48.3
2016-04-09,5.1,-48.3
2016-04-10,5.1,-48.3
2016-04-11,5.1,-48.3
2016-04-12,5.1,-48.3
2016-04-13,5.1,-48.3
2016-04-14,5.1,-48.3
2016-04-15,5.1,-48.3
2016-04-16,5.1,-48.3
2016-04-17,5.1,-48.3
2016-04-18,5.1,-48.3
2016-04-19,5.1,-48.3
2016-04-20,5.1,-48.3
2016-04-21,5.1,-48.3
2016-04-22,5.1,-48.3
2016-04-23,5.1,-48.3
2016-04-24,5.1,-48.3
2016-04-25,5.1,-48.3
2016-04-26,5.1,-48.3
2016-04-27,5.1,-48.3
2016-04-28,5.1,-48.3
2016-04-29,5.1,-48.3
2016-04-30,5.1,-48.3
2016-05-01,5.1,-48.3
2016-05-02,5.1,-48.3
2016-05-03,5.1,-48.3
2016-05-04,5.1,-48.3
2016-05-05,5.1,-48.3
2016-05-06,5.1,-48.3
2016-05-07,5.1,-48.3
2016-05-08,5.1,-48.3
2016-05-09,5.1,-48.3
2016-05-10,5.1,-48.3
2016-05-11,5.1,-48.3
2016-05-12,5.1,-48.3
2016-05-13,5.1,-48.3
2016-05-14,5.1,-48.3
2016-05-15,5.1,-48.3
2016-05-16,5.1,-48.3
2016-05-17,5.1,-48.3
2016-05-18,5.1,-48.3
2016-05-19,5.1,-48.3
2016-05-20,5.1,-48.3
2016-05-21,5.1,-48.3
2016-05-22,5.1,-48.3
2016-05-23,5.1,-48.3
2016-05-24,5.1,-48.3
2016-05-25,5.1,-48.3
2016-05-26,5.1,-48.3
2016-05-27,5.1,-48.3
2016-05-28,5.1,-48.3
2016-05-29,5.1,-48.3
2016-05-30,5.1,-48.3
