Date,fill_height,settlement
2015-07-13,0.0,0.0
2015-07-14,0.7,-2.6
2015-07-15,0.7,-2.6
2015-07-16,0.7,-2.6
2015-07-17,0.7,-2.6
2015-07-18,0.7,-2.6
2015-07-19,0.7,-2.6
2015-07-20,1.7,-2.6
2015-07-21,1.7,-2.7333333333333334
2015-07-22,1.7,-2.8666666666666667
2015-07-23,1.7,-3.0
2015-07-24,1.7,-3.14
2015-07-25,1.7,-3.28
2015-07-26,1.7,-3.42
2015-07-27,1.7,-3.56
2015-07-28,1.7,-3.7
2015-07-29,1.7,-3.8
2015-07-30,1.7,-3.9
2015-07-31,1.7,-3.9
2015-08-01,1.7,-3.9
2015-08-02,1.7,-3.9
2015-08-03,1.7,-3.9
2015-08-04,1.7,-3.9
2015-08-05,1.7,-3.9
2015-08-06,1.7,-3.9
2015-08-07,1.8,-3.9
2015-08-08,1.8,-4.0
2015-08-09,1.8,-4.1
2015-08-10,1.8,-4.2
2015-08-11,1.8,-4.333333333333333
2015-08-12,1.8,-4.466666666666667
2015-08-13,2.2,-4.6
2015-08-14,2.2,-4.675
2015-08-15,2.2,-4.75
2015-08-16,2.2,-4.825
2015-08-17,2.2,-4.9
2015-08-18,2.2,-5.033333333333333
2015-08-19,2.2,-5.166666666666667
2015-08-20,2.2,-5.3
2015-08-21,2.2,-5.3
2015-08-22,2.2,-5.3
2015-08-23,2.2,-5.3
2015-08-24,2.5,-5.3
2015-08-25,2.5,-5.4
2015-08-26,2.5,-5.5
2015-08-27,2.5,-5.6
2015-08-28,2.5,-5.6
2015-08-29,2.5,-5.6
2015-08-30,2.5,-5.6
2015-08-31,2.5,-5.6
2015-09-01,2.5,-5.733333333333333
2015-09-02,2.5,-5.866666666666666
2015-09-03,2.5,-6.0
2015-09-04,2.5,-6.05
2015-09-05,2.5,-6.1
2015-09-06,2.5,-6.15
2015-09-07,2.5,-6.2
2015-09-08,2.5,-6.3
2015-09-09,2.5,-6.4
2015-09-10,2.5,-6.5
2015-09-11,2.5,-6.5
2015-09-12,2.5,-6.5
2015-09-13,2.5,-6.5
2015-09-14,2.5,-6.5
2015-09-15,2.5,-6.5
2015-09-16,2.5,-6.5
2015-09-17,2.5,-6.5
2015-09-18,2.5,-6.575
2015-09-19,2.5,-6.65
2015-09-20,2.5,-6.725
2015-09-21,2.5,-6.8
2015-09-22,2.5,-6.866666666666666
2015-09-23,2.5,-6.933333333333334
2015-09-24,2.5,-7.0
2015-09-25,2.5,-7.0
2015-09-26,2.5,-7.0
2015-09-27,2.5,-7.0
2015-09-28,2.5,-7.0
2015-09-29,2.5,-7.0
2015-09-30,2.5,-7.0
2015-10-01,2.5,-7.0
2015-10-02,2.5,-7.0
2015-10-03,2.5,-7.0
2015-10-04,2.5,-7.0
2015-10-05,2.5,-7.0
2015-10-06,2.5,-7.0
2015-10-07,2.5,-7.0
2015-10-08,2.5,-7.0
2015-10-09,2.5,-7.125
2015-10-10,2.5,-7.25
2015-10-11,2.5,-7.375
2015-10-12,2.5,-7.5
2015-10-13,2.5,-7.633333333333334
2015-10-14,2.5,-7.766666666666667
2015-10-15,2.5,-7.9
2015-10-16,2.5,-8.55
2015-10-17,2.5,-9.2
2015-10-18,2.5,-9.85
2015-10-19,3.1,-10.5
2015-10-20,3.1,-11.0
2015-10-21,3.1,-11.5
2015-10-22,3.1,-12.0
2015-10-23,3.1,-12.125
2015-10-24,3.1,-12.25
2015-10-25,3.1,-12.375
2015-10-26,3.1,-12.5
2015-10-27,3.1,-12.6
2015-10-28,3.1,-12.7
2015-10-29,3.1,-12.8
2015-10-30,3.1,-12.84
2015-10-31,3.1,-12.88
2015-11-01,3.1,-12.92
2015-11-02,3.1,-12.96
2015-11-03,3.1,-13.0
2015-11-04,3.1,-13.133333333333333
2015-11-05,3.1,-13.266666666666667
2015-11-06,3.1,-13.4
2015-11-07,3.1,-13.45
2015-11-08,3.1,-13.5
2015-11-09,3.1,-13.55
2015-11-10,3.1,-13.6
2015-11-11,3.1,-13.6
2015-11-12,3.1,-13.6
2015-11-13,3.1,-13.6625
2015-11-14,3.1,-13.725
2015-11-15,3.1,-13.7875
2015-11-16,3.1,-13.85
2015-11-17,3.1,-13.9125
2015-11-18,3.1,-13.975
2015-11-19,3.1,-14.0375
2015-11-20,3.1,-14.1
2015-11-21,3.1,-14.2
2015-11-22,3.1,-14.3
2015-11-23,3.1,-14.4
2015-11-24,3.1,-14.5
2015-11-25,3.1,-14.6
2015-11-26,3.1,-14.7
2015-11-27,3.1,-14.8
2015-11-28,3.1,-14.842857142857143
2015-11-29,3.1,-14.885714285714286
2015-11-30,3.1,-14.928571428571429
2015-12-01,3.1,-14.971428571428572
2015-12-02,3.1,-15.014285714285714
2015-12-03,3.1,-15.057142857142855
2015-12-04,3.1,-15.1
2015-12-05,3.1,-15.1
2015-12-06,3.1,-15.1
2015-12-07,3.1,-15.1
2015-12-08,3.1,-15.1
2015-12-09,3.1,-15.1
2015-12-10,3.1,-15.1
2015-12-11,3.1,-15.1
2015-12-12,3.1,-15.15
2015-12-13,3.1,-15.2
2015-12-14,3.1,-15.25
2015-12-15,3.1,-15.3
2015-12-16,3.1,-15.3
2015-12-17,3.1,-15.3
2015-12-18,3.1,-15.3
2015-12-19,3.1,-15.3
2015-12-20,3.1,-15.3
2015-12-21,3.1,-15.3
2015-12-22,3.1,-15.3
2015-12-23,3.1,-15.3
2015-12-24,3.1,-15.366666666666667
2015-12-25,3.1,-15.433333333333334
2015-12-26,3.1,-15.5
2015-12-27,3.1,-15.566666666666666
2015-12-28,3.1,-15.633333333333333
2015-12-29,3.1,-15.7
2015-12-30,3.1,-15.7
2015-12-31,3.1,-15.7
2016-01-01,3.1,-15.733333333333333
2016-01-02,3.1,-15.766666666666666
2016-01-03,3.1,-15.8
2016-01-04,3.1,-15.833333333333334
2016-01-05,3.1,-15.866666666666667
2016-01-06,3.1,-15.9
2016-01-07,3.1,-15.9
2016-01-08,3.1,-15.9
2016-01-09,3.1,-15.966666666666669
2016-01-10,3.1,-16.033333333333335
2016-01-11,3.1,-16.1
2016-01-12,3.1,-16.200000000000003
2016-01-13,3.1,-16.3
2016-01-14,3.1,-16.4
2016-01-15,3.1,-16.5
2016-01-16,3.1,-16.566666666666666
2016-01-17,3.1,-16.633333333333333
2016-01-18,3.1,-16.7
2016-01-19,3.1,-16.75
2016-01-20,3.1,-16.799999999999997
2016-01-21,3.1,-16.849999999999998
2016-01-22,3.1,-16.9
2016-01-23,3.1,-16.924999999999997
2016-01-24,3.1,-16.95
2016-01-25,3.1,-16.975
2016-01-26,3.1,-17.0
2016-01-27,3.1,-17.033333333333335
2016-01-28,3.1,-17.066666666666666
2016-01-29,3.1,-17.1
2016-01-30,3.1,-17.1
2016-01-31,3.1,-17.1
2016-02-01,3.1,-17.1
2016-02-02,3.1,-17.1
2016-02-03,3.1,-17.1
2016-02-04,3.1,-17.1
2016-02-05,3.1,-17.116666666666667
2016-02-06,3.1,-17.133333333333333
2016-02-07,3.1,-17.150000000000002
2016-02-08,3.1,-17.166666666666668
2016-02-09,3.1,-17.183333333333334
2016-02-10,3.1,-17.200000000000003
2016-02-11,3.1,-17.21666666666667
2016-02-12,3.1,-17.233333333333334
2016-02-13,3.1,-17.25
2016-02-14,3.1,-17.266666666666666
2016-02-15,3.1,-17.283333333333335
2016-02-16,3.1,-17.3
2016-02-17,3.1,-17.3
2016-02-18,3.1,-17.3
2016-02-19,3.1,-17.3
2016-02-20,3.1,-17.3
2016-02-21,3.1,-17.3
2016-02-22,3.1,-17.3
2016-02-23,3.1,-17.3
2016-02-24,3.1,-17.3
2016-02-25,3.1,-17.3
2016-02-26,3.1,-17.3
2016-02-27,3.1,-17.3
2016-02-28,3.1,-17.3
2016-02-29,3.1,-17.3
2016-03-01,3.1,-17.3
2016-03-02,3.1,-17.3
2016-03-03,3.1,-17.3
2016-03-04,3.1,-17.3
2016-03-05,3.1,-17.314285714285713
2016-03-06,3.1,-17.32857142857143
2016-03-07,3.1,-17.34285714285714
2016-03-08,3.1,-17.357142857142858
2016-03-09,3.1,-17.37142857142857
2016-03-10,3.1,-17.385714285714286
2016-03-11,3.1,-17.4
2016-03-12,3.1,-17.4
2016-03-13,3.1,-17.4
2016-03-14,3.1,-17.4
2016-03-15,3.1,-17.4
2016-03-16,3.1,-17.4
2016-03-17,3.1,-17.4
2016-03-18,3.1,-17.4
2016-03-19,3.1,-17.4
2016-03-20,3.1,-17.4
2016-03-21,3.1,-17.4
2016-03-22,3.1,-17.4
2016-03-23,3.1,-17.4
2016-03-24,3.1,-17.4
2016-03-25,3.1,-17.4
2016-03-26,3.1,-17.4
2016-03-27,3.1,-17.4
2016-03-28,3.1,-17.4
2016-03-29,3.1,-17.4
2016-03-30,3.1,-17.4
2016-03-31,3.1,-17.4
2016-04-01,3.1,-17.4
2016-04-02,3.1,-17.4
2016-04-03,3.1,-17.4
2016-04-04,3.1,-17.4
2016-04-05,3.1,-17.4
2016-04-06,3.1,-17.4
2016-04-07,3.1,-17.4
2016-04-08,3.1,-17.4
2016-04-09,3.1,-17.4
2016-04-10,3.1,-17.4
2016-04-11,3.1,-17.4
2016-04-12,3.1,-17.4
2016-04-13,3.1,-17.4
2016-04-14,3.1,-17.4
2016-04-15,3.1,-17.4
2016-04-16,3.1,-17.4
2016-04-17,3.1,-17.4
2016-04-18,3.1,-17.4
2016-04-19,3.1,-17.4
2016-04-20,3.1,-17.4
2016-04-21,3.1,-17.4
2016-04-22,3.1,-17.4
2016-04-23,3.1,-17.4
2016-04-24,3.1,-17.4
2016-04-25,3.1,-17.4
2016-04-26,3.1,-17.4
2016-04-27,3.1,-17.4
2016-04-28,3.1,-17.4
2016-04-29,3.1,-17.4
2016-04-30,3.1,-17.4
2016-05-01,3.1,-17.4
2016-05-02,3.1,-17.4
2016-05-03,3.1,-17.4
2016-05-04,3.1,-17.4
2016-05-05,3.1,-17.4
2016-05-06,3.1,-17.4
2016-05-07,3.1,-17.4
2016-05-08,3.1,-17.4
2016-05-09,3.1,-17.4
2016-05-10,3.1,-17.4
2016-05-11,3.1,-17.4
2016-05-12,3.1,-17.4
2016-05-13,3.1,-17.4
2016-05-14,3.1,-17.4
2016-05-15,3.1,-17.4
2016-05-16,3.1,-17.4
2016-05-17,3.1,-17.4
2016-05-18,3.1,-17.4
2016-05-19,3.1,-17.4
2016-05-20,3.1,-17.4
2016-05-21,3.1,-17.4
2016-05-22,3.1,-17.4
2016-05-23,3.1,-17.4
2016-05-24,3.1,-17.4
2016-05-25,3.1,-17.4
2016-05-26,3.1,-17.4
2016-05-27,3.1,-17.4
2016-05-28,3.1,-17.4
2016-05-29,3.1,-17.4
2016-05-30,3.1,-17.4
