Date,fill_height,settlement
2015-08-30,0.0,0.0
2015-08-31,0.5,-4.4
2015-09-01,0.5,-4.533333333333333
2015-09-02,0.5,-4.666666666666667
2015-09-03,0.5,-4.8
2015-09-04,0.5,-5.175
2015-09-05,0.5,-5.55
2015-09-06,0.5,-5.925
2015-09-07,0.5,-6.3
2015-09-08,0.5,-6.566666666666666
2015-09-09,0.5,-6.833333333333333
2015-09-10,0.5,-7.1
2015-09-11,0.5,-7.1
2015-09-12,0.5,-7.1
2015-09-13,0.5,-7.1
2015-09-14,0.8,-7.1
2015-09-15,0.8,-7.1
2015-09-16,0.8,-7.1
2015-09-17,0.8,-7.1
2015-09-18,0.8,-7.175
2015-09-19,0.8,-7.25
2015-09-20,0.8,-7.325
2015-09-21,0.8,-7.4
2015-09-22,0.8,-7.4
2015-09-23,0.8,-7.4
2015-09-24,0.8,-7.4
2015-09-25,0.8,-7.436363636363636
2015-09-26,0.8,-7.472727272727273
2015-09-27,0.8,-7.50909090909091
2015-09-28,0.8,-7.545454545454546
2015-09-29,0.8,-7.581818181818182
2015-09-30,0.8,-7.618181818181818
2015-10-01,0.8,-7.654545454545454
2015-10-02,0.8,-7.69090909090909
2015-10-03,0.8,-7.727272727272727
2015-10-04,0.8,-7.763636363636364
2015-10-05,1.1,-7.8
2015-10-06,1.1,-7.899999999999999
2015-10-07,1.1,-8.0
2015-10-08,1.5,-8.1
2015-10-09,1.5,-8.9
2015-10-10,1.5,-9.7
2015-10-11,1.5,-10.5
2015-10-12,1.8,-11.3
2015-10-13,1.8,-12.5
2015-10-14,1.8,-13.7
2015-10-15,2.0,-14.9
2015-10-16,2.0,-16.025
2015-10-17,2.0,-17.15
2015-10-18,2.0,-18.275
2015-10-19,2.2,-19.4
2015-10-20,2.2,-20.23333333333333
2015-10-21,2.2,-21.066666666666663
2015-10-22,2.2,-21.9
2015-10-23,2.2,-22.675
2015-10-24,2.2,-23.45
2015-10-25,2.2,-24.225
2015-10-26,2.5,-25.0
2015-10-27,2.5,-25.9
2015-10-28,2.5,-26.8
2015-10-29,2.5,-27.7
2015-10-30,2.5,-28.22
2015-10-31,2.5,-28.74
2015-11-01,2.5,-29.26
2015-11-02,2.5,-29.78
2015-11-03,2.5,-30.3
2015-11-04,2.5,-30.766666666666666
2015-11-05,2.5,-31.23333333333333
2015-11-06,2.5,-31.7
2015-11-07,2.5,-31.775
2015-11-08,2.5,-31.85
2015-11-09,2.5,-31.925
2015-11-10,2.5,-32.0
2015-11-11,2.5,-32.0
2015-11-12,2.5,-32.0
2015-11-13,2.5,-32.0625
2015-11-14,2.5,-32.125
2015-11-15,2.5,-32.1875
2015-11-16,2.5,-32.25
2015-11-17,2.5,-32.3125
2015-11-18,2.5,-32.375
2015-11-19,2.5,-32.4375
2015-11-20,2.5,-32.5
2015-11-21,2.5,-32.57142857142857
2015-11-22,2.5,-32.642857142857146
2015-11-23,2.5,-32.714285714285715
2015-11-24,2.5,-32.785714285714285
2015-11-25,2.5,-32.857142857142854
2015-11-26,2.5,-32.92857142857143
2015-11-27,2.5,-33.0
2015-11-28,2.5,-33.2
2015-11-29,2.5,-33.4
2015-11-30,2.5,-33.6
2015-12-01,2.5,-33.8
2015-12-02,2.5,-34.0
2015-12-03,2.5,-34.2
2015-12-04,2.8,-34.4
2015-12-05,2.8,-34.4
2015-12-06,2.8,-34.4
2015-12-07,2.8,-34.4
2015-12-08,2.8,-34.4
2015-12-09,2.8,-34.4
2015-12-10,2.8,-34.4
2015-12-11,2.8,-34.4
2015-12-12,2.8,-34.5
2015-12-13,2.8,-34.599999999999994
2015-12-14,2.8,-34.7
2015-12-15,2.8,-34.8
2015-12-16,2.8,-34.8
2015-12-17,2.8,-34.8
2015-12-18,2.8,-34.8
2015-12-19,2.8,-34.8
2015-12-20,2.8,-34.8
2015-12-21,2.8,-34.8
2015-12-22,2.8,-34.8
2015-12-23,2.8,-34.8
2015-12-24,2.8,-35.166666666666664
2015-12-25,2.8,-35.53333333333333
2015-12-26,2.8,-35.9
2015-12-27,2.8,-36.266666666666666
2015-12-28,2.8,-36.63333333333333
2015-12-29,3.2,-37.0
2015-12-30,3.2,-37.15
2015-12-31,3.2,-37.3
2016-01-01,3.2,-37.36666666666667
2016-01-02,3.2,-37.43333333333333
2016-01-03,3.2,-37.5
2016-01-04,3.2,-37.56666666666667
2016-01-05,3.2,-37.63333333333333
2016-01-06,3.3,-37.7
2016-01-07,3.3,-37.85
2016-01-08,3.3,-38.0
2016-01-09,3.3,-38.13333333333333
2016-01-10,3.3,-38.266666666666666
2016-01-11,3.3,-38.4
2016-01-12,3.3,-38.475
2016-01-13,3.3,-38.55
2016-01-14,3.3,-38.625
2016-01-15,3.3,-38.7
2016-01-16,3.3,-38.766666666666666
2016-01-17,3.3,-38.833333333333336
2016-01-18,3.3,-38.9
2016-01-19,3.3,-38.975
2016-01-20,3.3,-39.05
2016-01-21,3.3,-39.125
2016-01-22,3.3,-39.2
2016-01-23,3.3,-39.325
2016-01-24,3.3,-39.45
2016-01-25,3.3,-39.575
2016-01-26,3.3,-39.7
2016-01-27,3.3,-39.8
2016-01-28,3.3,-39.9
2016-01-29,3.3,-40.0
2016-01-30,3.3,-40.06666666666667
2016-01-31,3.3,-40.13333333333333
2016-02-01,3.3,-40.2
2016-02-02,3.3,-40.266666666666666
2016-02-03,3.3,-40.333333333333336
2016-02-04,3.3,-40.4
2016-02-05,3.3,-40.45
2016-02-06,3.3,-40.5
2016-02-07,3.3,-40.55
2016-02-08,3.3,-40.6
2016-02-09,3.3,-40.65
2016-02-10,3.3,-40.7
2016-02-11,3.3,-40.75
2016-02-12,3.3,-40.8
2016-02-13,3.3,-40.85
2016-02-14,3.3,-40.9
2016-02-15,3.3,-40.95
